key,my,sigma,ordinal
frc1,26.475208965847326,1.226243384538604,22.796478812231513
frc4,25.199367699725308,1.7391960179385062,19.98177964590979
frc5,25.57734968530105,2.7015993858429086,17.472551527772325
frc6,22.850869249610884,5.863916646578662,5.259119309874897
frc7,25.795178541531293,2.9034234355728183,17.084908234812836
frc8,28.2639905244928,1.4036194370761703,24.05313221326429
frc9,28.521829707480837,3.049423220369974,19.373560046370915
frc10,25.615832786582658,6.955783333876172,4.748482784954142
frc11,29.678113870809515,0.9819963397285196,26.732124851623958
frc13,25.0,8.333333333333334,0.0
frc14,25.0,8.333333333333334,0.0
frc15,22.696478801003305,7.888236607195415,-0.9682310205829374
frc16,40.258653459510484,1.235873908598042,36.55103173371636
frc17,25.0,8.333333333333334,0.0
frc18,25.0,8.333333333333334,0.0
frc19,20.71728127810636,4.222694284627756,8.049198424223093
frc20,35.66946474132824,1.2289587615591928,31.982588456650664
frc21,24.283448439618095,1.7213247539279228,19.119474177834327
frc22,25.088302642264427,3.107318764038115,15.766346350150084
frc23,26.799915118775544,2.550996817436683,19.146924666465495
frc24,25.0,8.333333333333334,0.0
frc25,34.39980781089008,1.024028069552346,31.327723602233043
frc27,36.84220005669247,0.9170796327509437,34.09096115843964
frc28,26.076451039549177,1.8205019656237067,20.614945142678057
frc29,25.0,8.333333333333334,0.0
frc30,29.007948991621404,3.799833023804471,17.608449920207992
frc31,23.053889373548,2.1608181362939067,16.57143496466628
frc33,39.45737467365872,0.9421522305130611,36.630917982119534
frc34,27.59326990858973,1.557714873863999,22.92012528699773
frc35,23.674792054749737,4.149876248078505,11.225163310514223
frc37,28.76907046460657,8.028111881868297,4.684734819001683
frc38,31.148350692118264,3.696934599625045,20.057546893243128
frc39,38.22609698935616,2.901006007730551,29.523078966164505
frc40,34.948212059696836,1.8975108652136092,29.25567946405601
frc41,29.27251040465352,1.282143540403276,25.426079783443694
frc42,26.9949333694583,3.3284526326308725,17.009575471565682
frc45,26.465564968705426,1.1649457203318483,22.97072780770988
frc46,22.03820785789191,8.057040171502994,-2.132912656617073
frc47,32.241592645191226,1.8243375226290286,26.76858007730414
frc48,31.429004346405563,1.0636092534573838,28.23817658603341
frc49,23.081683373827538,1.95708326325177,17.210433584072227
frc51,31.415034588712267,1.139969721113226,27.99512542537259
frc52,25.0,8.333333333333334,0.0
frc53,20.21436564553929,2.268201690024829,13.409760575464801
frc55,25.0,8.333333333333334,0.0
frc56,32.703712121728586,1.061709648053022,29.51858317756952
frc57,28.789511159329958,1.671802906784979,23.77410243897502
frc58,30.909053274808624,1.2823967218557255,27.061863109241447
frc59,29.34381233692746,1.8084897134694475,23.918343196519118
frc60,31.425660272077813,1.3855837164680351,27.26890912267371
frc61,27.056048913818916,1.415755330503099,22.808782922309618
frc62,25.0,8.333333333333334,0.0
frc63,28.647657862557388,1.4069846269326152,24.426703981759545
frc64,34.40873467763715,2.94975162376252,25.55947980634959
frc65,27.653916808545155,1.9359504867362323,21.84606534833646
frc66,27.700042917980618,1.0864098814990244,24.440813273483545
