frc1,mu=26.605077047223393, sigma=1.2036281371258928)
frc4,mu=26.508382277224946, sigma=1.4454692659722945)
frc5,mu=23.47552591025182, sigma=2.5831932230444186)
frc6,mu=22.850869249610884, sigma=5.863916646578662)
frc7,mu=25.566781109911247, sigma=2.8858711993584745)
frc8,mu=30.107449500465012, sigma=1.179269193135595)
frc9,mu=28.560576484050472, sigma=3.0474558207478384)
frc10,mu=25.615832786582658, sigma=6.955783333876172)
frc11,mu=29.0392095683218, sigma=0.9151007795332435)
frc13,mu=25.0, sigma=8.333333333333334)
frc14,mu=25.0, sigma=8.333333333333334)
frc15,mu=22.696478801003305, sigma=7.888236607195415)
frc16,mu=39.219709687330536, sigma=1.0794867018476204)
frc17,mu=25.0, sigma=8.333333333333334)
frc18,mu=25.550578509080452, sigma=6.8949097086944535)
frc19,mu=20.80594052973721, sigma=4.222556840243741)
frc20,mu=33.98163404743118, sigma=1.0533201242148422)
frc21,mu=24.028963237573887, sigma=1.6870848610054079)
frc22,mu=25.096087711269547, sigma=3.105411915131314)
frc23,mu=26.36618815776125, sigma=2.4376848084021727)
frc24,mu=25.0, sigma=8.333333333333334)
frc25,mu=33.86501334512524, sigma=0.9715549256906585)
frc27,mu=36.71889354690787, sigma=0.8167364246094667)
frc28,mu=25.837727180586857, sigma=1.8082930063115408)
frc29,mu=25.0, sigma=8.333333333333334)
frc30,mu=29.007948991621404, sigma=3.799833023804471)
frc31,mu=22.96078319036398, sigma=2.1410193047547987)
frc33,mu=37.15180174026382, sigma=0.7691564063087551)
frc34,mu=27.532405177569817, sigma=1.548010673155908)
frc35,mu=23.674792054749737, sigma=4.149876248078505)
frc37,mu=28.76907046460657, sigma=8.028111881868297)
frc38,mu=30.857649049071963, sigma=3.6966412012679606)
frc39,mu=38.161111507755685, sigma=2.891707060781894)
frc40,mu=35.82729341477651, sigma=1.6725710657230837)
frc41,mu=28.86058802086157, sigma=1.2433078415347312)
frc42,mu=26.872544921460236, sigma=3.1844739204662904)
frc45,mu=26.947307604206024, sigma=1.074320998984052)
frc46,mu=21.72102963393435, sigma=8.0390332233886)
frc47,mu=34.00428293811806, sigma=1.7241719011005852)
frc48,mu=32.214931756923356, sigma=0.8827837669228256)
frc49,mu=23.319829992987675, sigma=1.9455101746232435)
frc51,mu=31.02289556390725, sigma=0.9291413213404827)
frc52,mu=25.0, sigma=8.333333333333334)
frc53,mu=20.047860019642222, sigma=2.2460172607056643)
frc55,mu=25.0, sigma=8.333333333333334)
frc56,mu=32.85527903127094, sigma=1.0352939228019908)
frc57,mu=27.45083391410994, sigma=1.5912203801649256)
frc58,mu=29.91433942390825, sigma=1.0872735387160795)
frc59,mu=28.61896789736304, sigma=1.749834960179003)
frc60,mu=30.009264787320248, sigma=1.3304337771729606)
frc61,mu=27.517634393044293, sigma=1.3045921099041284)
frc62,mu=25.0, sigma=8.333333333333334)
frc63,mu=28.621089173610095, sigma=1.3934904831914958)
frc64,mu=34.3333168563324, sigma=2.950088849841776)
frc65,mu=27.60406564496035, sigma=1.9262524814695734)
frc66,mu=26.951805097721003, sigma=1.041315381014143)
frc67,mu=38.43151913410732, sigma=0.8335395961426698)
frc68,mu=28.464155345087356, sigma=0.8690148062615827)
frc69,mu=29.762427963497412, sigma=1.29214619705028)
frc70,mu=32.06320426633293, sigma=0.9055573967226136)
frc71,mu=33.81772320896874, sigma=1.0457946644530998)
frc73,mu=20.532217085010927, sigma=2.635690521046228)
frc74,mu=30.056848762462135, sigma=0.9415508200466275)
frc75,mu=28.69093622602502, sigma=1.046052894098675)
frc77,mu=25.0, sigma=8.333333333333334)
frc78,mu=33.457899396123395, sigma=1.0194662383140498)
frc79,mu=30.041520622576577, sigma=1.2831632016982981)
frc80,mu=30.283893154129384, sigma=4.478217218770141)
frc81,mu=22.604063993111204, sigma=2.140283668892517)
frc84,mu=28.336872383983334, sigma=2.2903111705244856)
frc85,mu=31.998609362444096, sigma=0.9634181249416028)
frc86,mu=33.5896074873329, sigma=1.5353259771032441)
frc87,mu=22.473128650566238, sigma=1.3739102643325705)
frc88,mu=32.85314366463387, sigma=0.9053133548356816)
frc89,mu=21.331157194283524, sigma=8.02668832390403)
frc90,mu=25.0, sigma=8.333333333333334)
frc92,mu=19.313265508992412, sigma=4.784042849730335)
frc93,mu=28.600376017880492, sigma=1.324952982848115)
frc94,mu=23.398387764316883, sigma=1.426106332767823)
frc95,mu=33.27391326043615, sigma=1.0821154087880163)
frc96,mu=27.239228453488586, sigma=3.464256917927485)
frc97,mu=22.897522253461954, sigma=1.5451205716251062)
frc98,mu=23.035814496704035, sigma=8.17755635771097)
frc100,mu=26.967654298172935, sigma=1.2039722520597569)
frc101,mu=22.778095842679175, sigma=2.107973329925346)
frc102,mu=26.994412276982843, sigma=1.0899780514860478)
frc103,mu=31.190819331240643, sigma=0.96728316069169)
frc104,mu=26.41247559741017, sigma=3.322354411859958)
frc105,mu=29.184222577492275, sigma=6.958751065813147)
frc106,mu=26.62979831966924, sigma=8.17829772085961)
frc107,mu=31.486410853432645, sigma=0.9124172835205959)
frc108,mu=27.200222193987006, sigma=1.3488290991962855)
frc109,mu=27.94897822577227, sigma=6.812558234588441)
frc111,mu=38.51317498559815, sigma=1.0569584255080025)
frc112,mu=26.042518544135874, sigma=4.1649367219869085)
frc114,mu=31.147973102190136, sigma=1.0769306065489732)
frc115,mu=28.38453855811191, sigma=1.1175393985485402)
frc116,mu=23.72772961048194, sigma=1.3230099121399648)
frc117,mu=27.097005691095287, sigma=1.788150997103898)
